"price","area","bedrooms","bathrooms","mainroad","guestroom","hotwaterheating","airconditioning","parking","Location","furnishingstatus","property_type","Facilities"
13300000,7420,4,2,"yes","no","no","yes",2,"Urban","furnished","Terrace","Sports"
12250000,8960,4,4,"yes","no","no","yes",3,"Rural","furnished","Condo","Sports"
12250000,9960,3,2,"yes","no","no","no",2,"Urban","semi-furnished","Condo","Ent.& Gathering"
12215000,7500,4,2,"yes","no","no","yes",3,"Urban","furnished","Terrace","Ent.& Gathering"
11410000,7420,4,1,"yes","yes","no","yes",2,"Rural","furnished","Terrace","Sports"
10850000,7500,3,3,"yes","no","no","yes",2,"Urban","semi-furnished","Terrace","Both"
10150000,8580,4,3,"yes","no","no","yes",2,"Urban","semi-furnished","Condo","Sports"
10150000,16200,5,3,"yes","no","no","no",0,"Rural","unfurnished","Condo","Ent.& Gathering"
9870000,8100,4,1,"yes","yes","no","yes",2,"Urban","furnished","Apartment","Ent.& Gathering"
9800000,5750,3,2,"yes","yes","no","yes",1,"Urban","unfurnished","Condo","Ent.& Gathering"
9800000,13200,3,1,"yes","no","no","yes",2,"Urban","furnished","Condo","Ent.& Gathering"
9681000,6000,4,3,"yes","yes","yes","no",2,"Rural","semi-furnished","Condo","Sports"
9310000,6550,4,2,"yes","no","no","yes",1,"Urban","semi-furnished","Bungalow","None"
9240000,3500,4,2,"yes","no","yes","no",2,"Rural","furnished","Terrace","None"
9240000,7800,3,2,"yes","no","no","no",0,"Urban","semi-furnished","Condo","None"
9100000,6000,4,1,"yes","no","no","no",2,"Rural","semi-furnished","Condo","None"
9100000,6600,4,2,"yes","yes","no","yes",1,"Urban","unfurnished","Condo","Ent.& Gathering"
8960000,8500,3,2,"yes","no","no","yes",2,"Rural","furnished","Bungalow","None"
8890000,4600,3,2,"yes","yes","no","yes",2,"Rural","furnished","Condo","Both"
8855000,6420,3,2,"yes","no","no","yes",1,"Urban","semi-furnished","Terrace","None"
8750000,4320,3,1,"yes","no","yes","no",2,"Rural","semi-furnished","Condo","Ent.& Gathering"
8680000,7155,3,2,"yes","yes","no","yes",2,"Rural","unfurnished","Apartment","Sports"
8645000,8050,3,1,"yes","yes","no","yes",1,"Rural","furnished","Bungalow","Both"
8645000,4560,3,2,"yes","yes","no","yes",1,"Rural","furnished","Terrace","Both"
8575000,8800,3,2,"yes","no","no","yes",2,"Rural","furnished","Terrace","Both"
8540000,6540,4,2,"yes","yes","no","yes",2,"Urban","furnished","Terrace","Ent.& Gathering"
8463000,6000,3,2,"yes","yes","no","yes",0,"Urban","semi-furnished","Terrace","Ent.& Gathering"
8400000,8875,3,1,"yes","no","no","no",1,"Rural","semi-furnished","Condo","None"
8400000,7950,5,2,"yes","no","yes","no",2,"Rural","unfurnished","Apartment","Ent.& Gathering"
8400000,5500,4,2,"yes","no","no","yes",1,"Urban","semi-furnished","Terrace","None"
8400000,7475,3,2,"yes","no","no","yes",2,"Rural","unfurnished","Terrace","Ent.& Gathering"
8400000,7000,3,1,"yes","no","no","yes",2,"Rural","semi-furnished","Terrace","Both"
8295000,4880,4,2,"yes","no","no","yes",1,"Urban","furnished","Apartment","None"
8190000,5960,3,3,"yes","yes","no","no",1,"Rural","unfurnished","Condo","None"
8120000,6840,5,1,"yes","yes","no","yes",1,"Rural","furnished","Terrace","None"
8080940,7000,3,2,"yes","no","no","yes",2,"Rural","furnished","Apartment","None"
8043000,7482,3,2,"yes","no","yes","no",1,"Urban","furnished","Apartment","None"
7980000,9000,4,2,"yes","no","no","yes",2,"Rural","furnished","Condo","Ent.& Gathering"
7962500,6000,3,1,"yes","yes","no","yes",2,"Rural","unfurnished","Condo","None"
7910000,6000,4,2,"yes","no","no","yes",1,"Rural","semi-furnished","Condo","Both"
7875000,6550,3,1,"yes","no","no","yes",0,"Urban","furnished","Condo","None"
