"income_level","fam_composition","age","occupation","location_preference"
48790,4,47,"White-Collar","Urban"
55396,2,28,"White-Collar","Urban"
91174,2,43,"Blue-Collar","Rural"
61410,2,45,"Blue-Collar","Urban"
62586,1,51,"Blue-Collar","Rural"
94301,4,51,"Others","Rural"
69218,6,46,"White-Collar","Urban"
34699,1,22,"White-Collar","Urban"
46263,2,41,"Others","Urban"
51087,2,32,"White-Collar","Urban"
84482,4,36,"Others","Urban"
67196,1,47,"Others","Urban"
68015,2,43,"White-Collar","Urban"
62214,1,18,"Others","Urban"
48883,4,39,"White-Collar","Rural"
95738,3,32,"Blue-Collar","Urban"
69957,1,32,"Blue-Collar","Rural"
20668,5,29,"Blue-Collar","Urban"
74027,5,36,"Blue-Collar","Rural"
50544,1,42,"White-Collar","Urban"
38644,2,39,"White-Collar","Urban"
55641,4,38,"Blue-Collar","Urban"
39480,3,29,"Blue-Collar","Urban"
45422,3,36,"Blue-Collar","Urban"
47499,2,31,"Others","Urban"
26266,2,18,"White-Collar","Urban"
76756,3,37,"Blue-Collar","Rural"
63067,5,52,"Blue-Collar","Urban"
37237,2,21,"Others","Urban"
85076,1,46,"Blue-Collar","Rural"
68529,2,45,"Others","Urban"
54099,2,39,"Blue-Collar","Urban"
77903,1,26,"White-Collar","Urban"
77563,3,21,"White-Collar","Urban"
76432,2,50,"Others","Rural"
73773,2,41,"Others","Urban"
71078,5,37,"Blue-Collar","Rural"
58762,1,38,"Others","Urban"
53881,2,20,"Blue-Collar","Urban"
52391,1,46,"Others","Urban"
46106,3,51,"Others","Urban"
55842,4,35,"White-Collar","Rural"
34692,1,23,"Blue-Collar","Urban"
103379,1,32,"White-Collar","Rural"
84159,1,30,"Others","Urban"
37538,4,43,"Blue-Collar","Urban"
51942,3,39,"Blue-Collar","Rural"
50667,2,26,"Others","Urban"
75599,3,34,"Others","Urban"
58333,2,50,"Others","Urban"
65066,4,38,"White-Collar","Rural"
59429,3,44,"White-Collar","Urban"
59143,2,45,"Blue-Collar","Urban"
87372,5,54,"Blue-Collar","Urban"
55485,2,18,"Blue-Collar","Rural"
90329,3,18,"Blue-Collar","Urban"
29025,1,43,"White-Collar","Urban"
71692,1,32,"Blue-Collar","Rural"
62477,3,44,"White-Collar","Urban"
64319,2,38,"White-Collar","Urban"
67593,5,35,"Others","Urban"
49954,1,32,"White-Collar","Urban"
53336,1,50,"Blue-Collar","Rural"
39628,5,18,"White-Collar","Urban"
38564,3,35,"White-Collar","Rural"
66071,3,59,"Blue-Collar","Urban"
68964,2,31,"Others","Urban"
61060,4,48,"Others","Urban"
78445,3,39,"Others","Rural"
101002,2,38,"White-Collar","Urban"
50179,3,34,"Others","Urban"
13817,2,28,"Others","Rural"
80115,3,34,"Others","Rural"
45816,2,29,"Blue-Collar","Urban"
46240,2,38,"White-Collar","Urban"
80511,2,20,"Blue-Collar","Rural"
54305,1,32,"Others","Urban"
35586,2,45,"Blue-Collar","Rural"
63626,2,18,"Blue-Collar","Rural"
57222,6,45,"White-Collar","Urban"
60115,3,31,"Others","Rural"
67706,3,52,"Blue-Collar","Urban"
52587,1,35,"White-Collar","Rural"
72888,5,45,"Others","Urban"
55590,2,39,"White-Collar","Urban"
66636,3,19,"White-Collar","Urban"
81937,1,37,"Blue-Collar","Urban"
68704,3,35,"White-Collar","Urban"
53481,2,37,"White-Collar","Rural"
82976,1,40,"White-Collar","Urban"
79870,2,34,"Blue-Collar","Urban"
70968,2,34,"Blue-Collar","Urban"
64775,1,18,"White-Collar","Rural"
47442,4,33,"Blue-Collar","Rural"
87213,4,46,"White-Collar","Urban"
47995,2,47,"Others","Urban"
103747,3,47,"Blue-Collar","Rural"
90652,4,42,"White-Collar","Urban"
55286,1,35,"White-Collar","Urban"
39472,1,27,"Blue-Collar","Urban"
45792,2,30,"Blue-Collar","Rural"
65138,1,30,"White-Collar","Urban"
55066,3,43,"Blue-Collar","Urban"
53049,4,35,"Others","Rural"
40968,2,43,"Blue-Collar","Urban"
59099,2,18,"Others","Rural"
44302,4,28,"Others","Urban"
26641,2,30,"Others","Rural"
52395,5,46,"White-Collar","Urban"
78380,3,20,"Others","Urban"
48493,4,37,"Blue-Collar","Rural"
72159,4,31,"White-Collar","Urban"
27642,3,50,"Others","Urban"
58889,1,40,"White-Collar","Urban"
70388,3,46,"White-Collar","Urban"
66023,6,27,"Others","Urban"
62114,2,47,"Others","Rural"
47186,2,39,"White-Collar","Urban"
43006,4,44,"White-Collar","Urban"
39517,3,32,"Others","Urban"
62353,3,50,"White-Collar","Urban"
41051,6,24,"White-Collar","Urban"
50189,2,31,"Blue-Collar","Urban"
54878,3,24,"Blue-Collar","Urban"
96877,2,28,"Blue-Collar","Urban"
46961,4,43,"White-Collar","Rural"
64708,3,32,"Blue-Collar","Urban"
61559,4,38,"Others","Urban"
40763,2,59,"Blue-Collar","Urban"
58574,5,41,"White-Collar","Urban"
88891,3,36,"Others","Urban"
69030,3,44,"Others","Urban"
60825,2,36,"White-Collar","Urban"
51550,4,29,"Blue-Collar","Urban"
18935,5,46,"White-Collar","Urban"
82627,2,36,"White-Collar","Urban"
30787,3,41,"Blue-Collar","Rural"
74799,2,38,"Blue-Collar","Urban"
98182,4,37,"Blue-Collar","Rural"
31122,3,38,"Others","Urban"
74036,2,21,"White-Collar","Urban"
54756,2,40,"Others","Urban"
28557,3,24,"White-Collar","Urban"
29707,1,35,"Blue-Collar","Rural"
27969,2,35,"Blue-Collar","Rural"
49382,2,32,"Others","Urban"
30765,2,21,"Blue-Collar","Rural"
73758,1,53,"Blue-Collar","Urban"
102002,5,33,"Blue-Collar","Rural"
34259,3,18,"White-Collar","Urban"
75755,2,25,"White-Collar","Urban"
75381,3,44,"Blue-Collar","Urban"
66644,1,42,"Blue-Collar","Rural"
39832,3,29,"Blue-Collar","Urban"
57611,4,39,"White-Collar","Urban"
54392,2,45,"Others","Urban"
71260,1,39,"Others","Rural"
52551,2,28,"White-Collar","Urban"
79539,2,42,"Others","Urban"
52508,1,29,"Blue-Collar","Rural"
81054,4,34,"White-Collar","Urban"
39016,3,43,"White-Collar","Urban"
34797,1,25,"Blue-Collar","Urban"
124821,2,28,"Others","Urban"
51663,2,27,"White-Collar","Urban"
65965,4,31,"Blue-Collar","Urban"
